subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S010,1,Run Start,0,0,Congruent,Run 1 開始,,,,,,EVENT,,1763884711.0230048,0.00,0.00,-,,
S010,1,練習,0,0,Congruent,Run1練習開始,,,,,,EVENT,,1763885296.93198,14.00,14.00,-,,
S010,1,練習,1,1,Congruent,,Straight 圖片,Gemini_Generated_Image_8jcutu8jcutu8jcu.png,y,1.0975349000655115,1,None,y:1.098,16.054578999988735,20.06,20.06,-,16.05007860006299,0.005499299964867532
S010,1,練習,2,2,Congruent,,Gay 圖片,IMG_0082 (5).jpg,b,0.9501447998918593,1,None,b:0.950,22.056621800060384,26.06,26.06,-,22.05007860006299,0.007115399930626154
S010,1,練習,3,3,Congruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz.png,y,0.7173130000010133,1,None,y:0.717,28.0582688000286,32.06,32.06,-,28.05007860006299,0.008639699895866215
S010,1,練習,4,4,Congruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz (1).png,y,0.9855618999572471,1,None,y:0.986,34.05907610000577,38.06,38.06,-,34.05007860006299,0.010494799935258925
S010,1,練習,5,5,Congruent,,中 正向 文字,樂觀,b,0.8356680000433698,0,Wrong,b:0.836,40.06084769999143,44.06,44.06,-,40.05007860006299,0.012451499933376908
S010,1,練習,6,6,Congruent,,中 負向 文字,尷尬,b,1.400528599973768,1,None,b:1.401,46.0633639000589,50.06,50.06,-,46.05007860006299,0.0138928999658674
S010,1,練習,7,7,Congruent,,低 正向 文字,冷靜,None,nan,0,Miss,b:1.686,52.06491750001442,56.06,56.06,-,52.05007860006299,0.01476399996317923
S010,1,練習,8,8,Congruent,,Gay 圖片,Gemini_Generated_Image_7w7ppb7w7ppb7w7p.png,None,nan,0,Miss,b:1.569,58.06663010001648,62.05,62.05,-,58.05007860006299,0.0008863999973982573
S010,1,練習,9,9,Congruent,,低 負向 文字,憂愁,b,1.467074199928902,1,None,b:1.467,64.05158960004337,68.05,68.05,-,64.05007860006299,0.0023789999540895224
S010,1,練習,10,10,Congruent,,高 負向 文字,壓力大,b,1.2177263000048697,1,None,b:1.218,70.05287490005139,74.05,74.05,-,70.05007860006299,0.003755899961106479
S010,1,練習,10,0,Congruent,Run1練習結束,,,,,,EVENT,,1763885356.9810927,74.05,74.05,-,,
S010,1,預備開始,10,0,Congruent,Run 1 預備開始開始,,,,,,EVENT,,1763885356.9821,74.06,74.06,-,,
S010,1,預備開始,10,0,Congruent,Run 1 預備開始結束,,,,,,EVENT,,1763885366.983466,84.06,84.06,-,,
S010,1,正式,10,0,Congruent,Run1正式開始,,,,,,EVENT,,1763885366.983466,84.06,84.06,-,,
S010,1,正式,11,1,Congruent,,Straight 圖片,Gemini_Generated_Image_7ypa4e7ypa4e7ypa (4).png,y,0.8507788999704644,1,None,y:0.851,86.10679270001128,90.09,90.09,-,86.09053950000089,0.0003426000475883484
S010,1,正式,12,2,Congruent,,Gay 圖片,Gemini_Generated_Image_9uazv99uazv99uaz.png,b,0.918760999920778,1,None,b:0.919,92.09175280004274,96.09,96.09,-,92.09053950000089,0.0029395000310614705
S010,1,正式,13,3,Congruent,,中 負向 文字,暴躁,b,0.8839907000074163,1,None,b:0.884,98.09418040001765,102.09,102.09,-,98.09053950000089,0.004225900047458708
S010,1,正式,14,4,Congruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz (4).png,y,0.8009609999135137,1,None,y:0.801,104.0951650000643,108.10,108.10,-,104.09053950000089,0.00569969997741282
S010,1,正式,15,5,Congruent,,低 正向 文字,冷靜,None,nan,0,Miss,b:1.735,110.09646959998645,114.10,114.10,-,110.09053950000089,0.006589700002223253
S010,1,正式,16,6,Congruent,,Straight 圖片,Gemini_Generated_Image_mss2e2mss2e2mss2.png,y,1.2341670000459999,1,None,y:1.234,116.09859940002207,120.10,120.10,-,116.09053950000089,0.008511099964380264
S010,1,正式,17,7,Congruent,,Gay 圖片,Gemini_Generated_Image_m59zsrm59zsrm59z (1).png,b,0.8667807000456378,1,None,b:0.867,122.1010580000002,126.10,126.10,-,122.09053950000089,0.010772799956612289
S010,1,正式,18,8,Congruent,,Straight 圖片,Gemini_Generated_Image_8jcutu8jcutu8jcu.png,y,1.3516594999236986,1,None,y:1.352,128.10139910003636,132.10,132.10,-,128.0905395000009,0.011789500014856458
S010,1,正式,19,9,Congruent,,低 負向 文字,虛弱,None,nan,0,Miss,b:1.552,134.1028991000494,138.10,138.10,-,134.0905395000009,0.013843500055372715
S010,1,正式,20,10,Congruent,,Straight 圖片,Gemini_Generated_Image_s0cvoks0cvoks0cv.png,y,1.4845894000027329,1,None,y:1.485,140.1053296000464,144.11,144.11,-,140.0905395000009,0.015574199962429702
S010,1,正式,21,11,Congruent,,中 負向 文字,惱怒,b,1.3834416999015957,1,None,b:1.383,156.093086100067,160.09,160.09,-,156.0905395000009,0.0027866000309586525
S010,1,正式,22,12,Congruent,,Gay 圖片,IMG_0082 (5).jpg,b,1.4855051999911666,1,None,b:1.486,162.09453999996185,166.10,166.10,-,162.0905395000009,0.0048692000564187765
S010,1,正式,23,13,Congruent,,Gay 圖片,Gemini_Generated_Image_88r9f588r9f588r9.png,b,0.7167919999919832,1,None,b:0.717,168.0963254000526,172.10,172.10,-,168.0905395000009,0.0062411000253632665
S010,1,正式,24,14,Congruent,,高 負向 文字,恐懼,b,1.33375679992605,1,None,b:1.334,174.09742450003978,178.10,178.10,-,174.0905395000009,0.007821799954399467
S010,1,正式,25,15,Congruent,,Gay 圖片,Gemini_Generated_Image_qcheitqcheitqche (3).png,b,0.7181301000528038,1,None,b:0.718,180.0984890999971,184.10,184.10,-,180.0905395000009,0.00992530002258718
S010,1,正式,26,16,Congruent,,低 負向 文字,悲慘,b,0.9019727000268176,1,None,b:0.902,186.10035520000383,190.10,190.10,-,186.0905395000009,0.010989599977619946
S010,1,正式,27,17,Congruent,,低 正向 文字,滿足,y,0.9205643000314012,1,None,y:0.921,192.10177249996923,196.10,196.10,-,192.0905395000009,0.013061100034974515
S010,1,正式,28,18,Congruent,,中 正向 文字,投入,b,0.9358273999532685,0,Wrong,b:0.936,198.1039410000667,202.10,202.10,-,198.0905395000009,0.01458029996138066
S010,1,正式,29,19,Congruent,,低 正向 文字,受撫慰,None,nan,0,Miss,y:1.668,204.10564249998424,208.11,208.11,-,204.0905395000009,0.016495899995788932
S010,1,正式,30,20,Congruent,,高 負向 文字,不耐煩,None,nan,0,Miss,b:1.653,210.0908476000186,214.09,214.09,-,210.0905395000009,0.0009923999896273017
S010,1,正式,31,21,Congruent,,Straight 圖片,Gemini_Generated_Image_jp0sc5jp0sc5jp0s (4).png,y,0.9675075999693945,1,None,y:0.968,226.09497630002443,230.10,230.10,-,226.0905395000009,0.005260300007648766
S010,1,正式,32,22,Congruent,,高 正向 文字,容光煥發,b,1.0528001999482512,0,Wrong,b:1.053,232.09661160001997,236.10,236.10,-,232.0905395000009,0.007572300033643842
S010,1,正式,33,23,Congruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_18.png,y,1.1188140999292955,1,None,y:1.119,238.09786640002858,242.10,242.10,-,238.0905395000009,0.008636799990199506
S010,1,正式,34,24,Congruent,,中 正向 文字,樂意,None,nan,0,Miss,y:1.686,244.10009359999094,248.10,248.10,-,244.0905395000009,0.010326300049200654
S010,1,正式,35,25,Congruent,,Gay 圖片,Gemini_Generated_Image_2kbxjz2kbxjz2kbx (1).png,None,nan,0,Miss,b:1.551,250.10100180003792,254.10,254.10,-,250.0905395000009,0.011074100038968027
S010,1,正式,36,26,Congruent,,Straight 圖片,Gemini_Generated_Image_jmgj16jmgj16jmgj.png,y,1.1352502999361604,1,None,y:1.135,256.102562300046,260.10,260.10,-,256.0905395000009,0.013253499986603856
S010,1,正式,37,27,Congruent,,Gay 圖片,Gemini_Generated_Image_ph7wzgph7wzgph7w.png,b,0.7339507000287995,1,None,b:0.734,262.10416280000936,266.10,266.10,-,262.0905395000009,0.014948999974876642
S010,1,正式,38,28,Congruent,,高 正向 文字,大膽,None,nan,0,Miss,,268.10569160000887,272.11,272.11,-,268.0905395000009,0.01677760004531592
S010,1,正式,39,29,Congruent,,高 負向 文字,驚慌,None,nan,0,Miss,,274.091350600007,278.09,278.09,-,274.0905395000009,0.0014169999631121755
S010,1,正式,40,30,Congruent,,低 負向 文字,羞愧,None,nan,0,Miss,b:1.535,280.092775600031,284.09,284.09,-,280.0905395000009,0.002958300057798624
S010,1,正式,41,31,Congruent,,Straight 圖片,Gemini_Generated_Image_6a6dn66a6dn66a6d.png,y,0.9510129999835044,1,None,y:0.951,296.096819999977,300.10,300.10,-,296.0905395000009,0.006936499965377152
S010,1,正式,42,32,Congruent,,中 正向 文字,被理解,None,nan,0,Miss,,302.09852400003,306.10,306.10,-,302.0905395000009,0.009080599993467331
S010,1,正式,43,33,Congruent,,Gay 圖片,Gemini_Generated_Image_2kbxjz2kbxjz2kbx (2).png,b,1.367865000036545,1,None,b:1.368,308.10033779998776,312.10,312.10,-,308.0905395000009,0.010478400043211877
S010,1,正式,44,34,Congruent,,Straight 圖片,Gemini_Generated_Image_8zpygh8zpygh8zpy (1).png,y,1.0684971999144182,1,None,y:1.068,314.1023032000521,318.10,318.10,-,314.0905395000009,0.012307900004088879
S010,1,正式,45,35,Congruent,,高 正向 文字,亢奮,None,nan,0,Miss,y:1.536,320.10342439997476,324.11,324.11,-,320.0905395000009,0.014320899965241551
S010,1,正式,46,36,Congruent,,低 正向 文字,恬靜,b,1.2513054999290034,0,Wrong,b:1.251,326.1052069000434,330.11,330.11,-,326.0905395000009,0.01542810001410544
S010,1,正式,47,37,Congruent,,Straight 圖片,Gemini_Generated_Image_8zpygh8zpygh8zpy (1).png,y,1.4854343000333756,1,None,y:1.485,332.1067158000078,336.09,336.09,-,332.0905395000009,0.0005924999713897705
