subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S008,1,Run Start,0,0,Congruent,Run 1 開始,,,,,,EVENT,,1763882903.2013996,0.00,0.00,-,,
S008,1,練習,0,0,Congruent,Run1練習開始,,,,,,EVENT,,1763883404.6220345,14.01,14.01,-,,
S008,1,練習,1,1,Congruent,,低 負向 文字,憂愁,b,0.8105838000774384,1,None,b:0.811,16.05420219991356,20.06,20.06,-,16.04020439996384,0.015462700044736266
S008,1,練習,2,2,Congruent,,Gay 圖片,Gemini_Generated_Image_jpalswjpalswjpal.png,b,0.785675200051628,1,None,b:0.786,22.05579889996443,26.06,26.06,-,22.04020439996384,0.017007100046612322
S008,1,練習,3,3,Congruent,,高 正向 文字,喜悅,b,0.8345270999707282,0,Wrong,b:0.835,28.040893099969253,32.04,32.04,-,28.04020439996384,0.0016771999653428793
S008,1,練習,4,4,Congruent,,高 負向 文字,敵意,b,0.7193321000086144,1,None,b:0.719,34.04201129998546,38.04,38.04,-,34.04020439996384,0.003053199965506792
S008,1,練習,5,5,Congruent,,Gay 圖片,Gemini_Generated_Image_atjalatjalatjala.png,b,0.7500441999873146,1,None,b:0.750,40.0443250000244,44.05,44.05,-,40.04020439996384,0.004937699995934963
S008,1,練習,6,6,Congruent,,Straight 圖片,Gemini_Generated_Image_bdhzeybdhzeybdhz.png,y,0.7876009999308735,1,None,y:0.788,46.04445940000005,50.05,50.05,-,46.04020439996384,0.005757899954915047
S008,1,練習,7,7,Congruent,,中 負向 文字,悲觀,b,0.8194076999789104,1,None,b:0.819,52.04734739998821,56.05,56.05,-,52.04020439996384,0.007547399960458279
S008,1,練習,8,8,Congruent,,Straight 圖片,Gemini_Generated_Image_22gggh22gggh22gg (1).png,y,0.7175876999972388,1,None,y:0.718,58.04819789994508,62.05,62.05,-,58.04020439996384,0.009823699947446585
S008,1,練習,9,9,Congruent,,Straight 圖片,Gemini_Generated_Image_mss2e2mss2e2mss2.png,y,0.6520404999610037,1,None,y:0.652,64.05058729997836,68.05,68.05,-,64.04020439996384,0.011759000015445054
S008,1,練習,10,10,Congruent,,中 正向 文字,投入,y,0.8014502000296488,1,None,y:0.801,70.0521402999293,74.05,74.05,-,70.04020439996384,0.012977999984286726
S008,1,練習,10,0,Congruent,Run1練習結束,,,,,,EVENT,,1763883464.670868,74.05,74.05,-,,
S008,1,預備開始,10,0,Congruent,Run 1 預備開始開始,,,,,,EVENT,,1763883464.6719925,74.06,74.06,-,,
S008,1,預備開始,10,0,Congruent,Run 1 預備開始結束,,,,,,EVENT,,1763883474.673345,84.06,84.06,-,,
S008,1,正式,10,0,Congruent,Run1正式開始,,,,,,EVENT,,1763883474.673345,84.06,84.06,-,,
S008,1,正式,11,1,Congruent,,Gay 圖片,Gemini_Generated_Image_k0lbsdk0lbsdk0lb (3).png,b,0.7178646000102162,1,None,b:0.718,86.10616570001002,90.09,90.09,-,86.09015649999492,0.0011940000113099813
S008,1,正式,12,2,Congruent,,高 正向 文字,亢奮,y,0.8681678000139073,1,None,y:0.868,92.09113929991145,96.09,96.09,-,92.09015649999492,0.0023322999477386475
S008,1,正式,13,3,Congruent,,低 負向 文字,虛弱,b,0.8338627000339329,1,None,b:0.834,98.09323679993395,102.09,102.09,-,98.09015649999492,0.0038571999175474048
S008,1,正式,14,4,Congruent,,Straight 圖片,Gemini_Generated_Image_jp0sc5jp0sc5jp0s (1).png,y,0.6520496000302956,1,None,y:0.652,104.09472289995756,108.10,108.10,-,104.09015649999492,0.004653999931178987
