subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S007,1,Run Start,0,0,Congruent,Run 1 開始,,,,,,EVENT,,1763881064.4888275,0.00,0.00,-,,
S007,1,練習,0,0,Congruent,Run1練習開始,,,,,,EVENT,,1763881640.3115227,14.00,14.00,-,,
S007,1,練習,1,1,Congruent,,Gay 圖片,Gemini_Generated_Image_2kbxjz2kbxjz2kbx.png,b,0.8825113999773748,1,None,b:0.883,16.0541923000128,20.06,20.06,-,16.040089100017212,0.015484399977140129
S007,1,練習,2,2,Congruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz (2).png,y,1.0674459000001661,1,None,y:1.067,22.055961000034586,26.06,26.06,-,22.040089100017212,0.01707130001159385
S007,1,練習,3,3,Congruent,,低 正向 文字,恬靜,None,nan,0,Miss,,28.040603899979033,32.04,32.04,-,28.040089100017212,0.002168699982576072
S007,1,練習,4,4,Congruent,,中 正向 文字,被逗樂,b,1.4843949999776669,0,Wrong,b:1.484,34.04314930003602,38.04,38.04,-,34.04008910001721,0.003568999993149191
S007,1,練習,5,5,Congruent,,Straight 圖片,Gemini_Generated_Image_imyf53imyf53imyf.png,y,1.2351782000041567,1,None,y:1.235,40.04457979998551,44.05,44.05,-,40.04008910001721,0.004927299974951893
S007,1,練習,6,6,Congruent,,高 負向 文字,驚恐,None,nan,0,Miss,,46.045726699987426,50.05,50.05,-,46.04008910001721,0.006473999994341284
S007,1,練習,7,7,Congruent,,Gay 圖片,Gemini_Generated_Image_z9vakfz9vakfz9va.png,b,0.9177502000238746,1,None,b:0.918,52.047990299994126,56.05,56.05,-,52.04008910001721,0.008989499998278916
S007,1,練習,8,8,Congruent,,低 負向 文字,無動於衷,b,1.3685559000005014,1,None,b:1.369,58.04921710002236,62.05,62.05,-,58.04008910001721,0.00971780001418665
S007,1,練習,9,9,Congruent,,中 負向 文字,氣餒,b,0.9347642000066116,1,None,b:0.935,64.04998840001645,68.05,68.05,-,64.04008910001721,0.011580799997318536
S007,1,練習,10,10,Congruent,,Straight 圖片,Gemini_Generated_Image_7ypa4e7ypa4e7ypa (3).png,y,0.8849508999846876,1,None,y:0.885,70.05222300003516,74.05,74.05,-,70.04008910001721,0.012728100002277642
S007,1,練習,10,0,Congruent,Run1練習結束,,,,,,EVENT,,1763881700.3610365,74.05,74.05,-,,
S007,1,預備開始,10,0,Congruent,Run 1 預備開始開始,,,,,,EVENT,,1763881700.3610365,74.05,74.05,-,,
S007,1,預備開始,10,0,Congruent,Run 1 預備開始結束,,,,,,EVENT,,1763881710.3642502,84.06,84.06,-,,
S007,1,正式,10,0,Congruent,Run1正式開始,,,,,,EVENT,,1763881710.3642502,84.06,84.06,-,,
S007,1,正式,11,1,Congruent,,Gay 圖片,Gemini_Generated_Image_m59zsrm59zsrm59z (1).png,b,0.7008187000174075,1,None,b:0.701,86.10687600000529,90.09,90.09,-,86.09020799997961,0.00116610003169626
S007,1,正式,12,2,Congruent,,低 正向 文字,若有所思,b,1.134096599998884,0,Wrong,b:1.134,92.09199370001443,96.09,96.09,-,92.09020799997961,0.0020877000060863793
