subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S004,1,正式,29,19,Congruent,,Straight 圖片,Gemini_Generated_Image_t8lai7t8lai7t8la (1).png,y,0.7516338999848813,1,None,y:0.752,204.12111750000622,208.12,208.12,-,204.11023960000603,0.012111299962271005
S004,1,正式,30,20,Congruent,,Gay 圖片,Gemini_Generated_Image_p3lb9cp3lb9cp3lb.png,b,0.7525826999917626,1,None,b:0.753,210.12331759999506,214.13,214.13,-,210.11023960000603,0.014112900011241436
S004,1,正式,31,21,Congruent,,Gay 圖片,"ChatGPT Image Nov 16, 2025 at 09_08_53 PM.png",b,0.682685500010848,1,None,b:0.683,226.1116680999985,230.11,230.11,-,226.11023960000603,0.002293400000780821
S004,1,正式,32,22,Congruent,,高 正向 文字,堅定,y,0.9171307999640703,1,None,y:0.917,232.11354350001784,236.11,236.11,-,232.11023960000603,0.0028497999883256853
S004,1,正式,33,23,Congruent,,Straight 圖片,Gemini_Generated_Image_pz4orypz4orypz4o (2).png,y,0.7520391999860294,1,None,y:0.752,238.11377340002218,242.12,242.12,-,238.11023960000603,0.005051899992395192
S004,1,正式,34,24,Congruent,,中 負向 文字,憤世嫉俗,b,0.7834697999642231,1,None,b:0.783,244.11550100002205,248.12,248.12,-,244.11023960000603,0.00618859997484833
S004,1,正式,35,25,Congruent,,Straight 圖片,Gemini_Generated_Image_n96fypn96fypn96f.png,y,0.669302299967967,1,None,y:0.669,250.1168310000212,254.12,254.12,-,250.11023960000603,0.007516100013162941
S004,1,正式,36,26,Congruent,,Straight 圖片,Gemini_Generated_Image_jp0sc5jp0sc5jp0s (4).png,y,0.7024992000078782,1,None,y:0.702,256.1184838999761,260.12,260.12,-,256.110239600006,0.009412999963387847
S004,1,正式,37,27,Congruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz (3).png,y,0.7353079000022262,1,None,y:0.735,262.120065599971,266.12,266.12,-,262.110239600006,0.011201100016478449
S004,1,正式,38,28,Congruent,,高 負向 文字,受威脅,b,0.786193199979607,1,None,b:0.786,268.1219876999967,272.12,272.12,-,268.110239600006,0.012754399969708174
S004,1,正式,39,29,Congruent,,Gay 圖片,IMG_0082 (5).jpg,b,0.6191968999919482,1,None,b:0.619,274.12322680000216,278.13,278.13,-,274.110239600006,0.014700200001243502
S004,1,正式,40,30,Congruent,,中 正向 文字,調皮,b,0.7856587000424042,0,Wrong,b:0.786,280.1253934999695,284.11,284.11,-,280.110239600006,0.0004476999747566879
S004,1,正式,41,31,Congruent,,Gay 圖片,Gemini_Generated_Image_oqaxgcoqaxgcoqax.png,b,0.8030953999841586,1,None,b:0.803,296.1134191000019,300.12,300.12,-,296.110239600006,0.004925300017930567
S004,1,正式,42,32,Congruent,,低 負向 文字,虛弱,b,0.9175728000118397,1,None,b:0.918,302.1155579999904,306.12,306.12,-,302.110239600006,0.006919700012076646
S004,1,正式,43,33,Congruent,,低 正向 文字,受撫慰,y,1.152795200003311,1,None,y:1.153,308.11646889999975,312.12,312.12,-,308.110239600006,0.00723019998986274
S004,1,正式,44,34,Congruent,,中 正向 文字,充滿希望,y,0.7676381000201218,1,None,y:0.768,314.11807009996846,318.12,318.12,-,314.110239600006,0.008372900018002838
S004,1,正式,45,35,Congruent,,中 正向 文字,被理解,b,0.6846177999977954,0,Wrong,b:0.685,320.1191662999918,324.12,324.12,-,320.110239600006,0.010250499995891005
S004,1,正式,46,36,Congruent,,中 負向 文字,憤懣,b,0.7696014000102878,1,None,b:0.770,326.12071069999365,330.12,330.12,-,326.110239600006,0.01173289999132976
S004,1,正式,47,37,Congruent,,Gay 圖片,Gemini_Generated_Image_3tngf13tngf13tng.png,b,0.7357300999574363,1,None,b:0.736,332.1222818000242,336.12,336.12,-,332.110239600006,0.013718499976675957
S004,1,正式,48,38,Congruent,,Gay 圖片,Gemini_Generated_Image_z9vakfz9vakfz9va.png,b,1.0526426000287756,1,None,b:1.053,338.12420949997613,342.13,342.13,-,338.110239600006,0.015502700000070035
S004,1,正式,49,39,Congruent,,中 負向 文字,暴躁,b,0.8519486999721266,1,None,b:0.852,344.12595640000654,348.11,348.11,-,344.110239600006,0.001020599971525371
S004,1,正式,50,40,Congruent,,高 負向 文字,壓力大,b,0.7682490999577567,1,None,b:0.768,350.1120767000248,354.11,354.11,-,350.110239600006,0.0025517999893054366
S004,1,正式,51,41,Congruent,,Gay 圖片,Gemini_Generated_Image_7w7ppb7w7ppb7w7p.png,b,0.7684789000195451,1,None,b:0.768,366.1150208999752,370.12,370.12,-,366.110239600006,0.0061012000078335404
S004,1,正式,52,42,Congruent,,Gay 圖片,Gemini_Generated_Image_2kbxjz2kbxjz2kbx.png,b,0.8028473000158556,1,None,b:0.803,372.116587699973,376.12,376.12,-,372.110239600006,0.006948099995497614
S004,1,正式,53,43,Congruent,,Straight 圖片,Gemini_Generated_Image_m8js26m8js26m8js.png,y,0.9181256999727339,1,None,y:0.918,378.11805950000416,382.12,382.12,-,378.110239600006,0.009082800010219216
S004,1,正式,54,44,Congruent,,Straight 圖片,Gemini_Generated_Image_8jcutu8jcutu8jcu (1).png,y,0.7030962000135332,1,None,y:0.703,384.11994409997715,388.12,388.12,-,384.110239600006,0.010984099993947893
S004,1,正式,55,45,Congruent,,高 正向 文字,精力充沛,y,1.1852069000015035,1,None,y:1.185,390.1222364999703,394.12,394.12,-,390.110239600006,0.012497999996412545
S004,1,正式,56,46,Congruent,,低 正向 文字,反思,None,nan,0,Miss,y:1.552,396.1231830000179,400.12,400.12,-,396.110239600006,0.013707200007047504
S004,1,正式,57,47,Congruent,,Gay 圖片,Gemini_Generated_Image_m59zsrm59zsrm59z (1).png,b,0.652109999966342,1,None,b:0.652,402.1252936000237,406.13,406.13,-,402.110239600006,0.01594939996721223
S004,1,正式,58,48,Congruent,,Straight 圖片,Gemini_Generated_Image_jp0sc5jp0sc5jp0s (1).png,y,0.7178764999844134,1,None,y:0.718,408.1273307999945,412.11,412.11,-,408.110239600006,0.0010092000011354685
S004,1,正式,59,49,Congruent,,低 正向 文字,安穩,y,0.7507301000296138,1,None,y:0.751,414.1114907999872,418.11,418.11,-,414.110239600006,0.003046699974220246
