subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S006,1,Run Start,0,0,Congruent,Run 1 開始,,,,,,EVENT,,1763879771.3392708,0.00,0.00,-,,
S006,1,練習,0,0,Congruent,Run1練習開始,,,,,,EVENT,,1763879848.544615,14.00,14.00,-,,
S006,1,練習,1,1,Congruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_09_11.png,y,1.0158511000336148,1,None,y:1.016,16.053853999997955,20.06,20.06,-,16.040499499998987,0.015194500039797276
S006,1,練習,2,2,Congruent,,高 負向 文字,害怕,b,0.9184596000122838,1,None,b:0.918,22.056019900017418,26.04,26.04,-,22.040499499998987,0.00022470002295449376
S006,1,練習,3,3,Congruent,,Gay 圖片,Gemini_Generated_Image_3uep5t3uep5t3uep.png,b,0.9344501000014134,1,None,b:0.934,28.041650900035165,32.04,32.04,-,28.040499499998987,0.001783600018825382
S006,1,練習,4,4,Congruent,,Straight 圖片,Gemini_Generated_Image_22gggh22gggh22gg.png,y,0.767839299980551,1,None,y:0.768,34.04314880003221,38.04,38.04,-,34.04049949999899,0.002581800043117255
S006,1,練習,5,5,Congruent,,Gay 圖片,Gemini_Generated_Image_h1k1muh1k1muh1k1.png,b,1.0016010000254028,1,None,b:1.002,40.044314500002656,44.05,44.05,-,40.04049949999899,0.004239500034600496
S006,1,練習,6,6,Congruent,,中 負向 文字,惱怒,b,1.1022716999868862,1,None,b:1.102,46.04566370003158,50.05,50.05,-,46.04049949999899,0.0060944000142626464
S006,1,練習,7,7,Congruent,,低 負向 文字,無聊,b,0.7337329000001773,1,None,b:0.734,52.04764679999789,56.05,56.05,-,52.04049949999899,0.007872299989685416
S006,1,練習,8,8,Congruent,,Straight 圖片,Gemini_Generated_Image_jp0sc5jp0sc5jp0s (2).png,y,0.9675288000144064,1,None,y:0.968,58.04907499998808,62.05,62.05,-,58.04049949999899,0.010011700040195137
S006,1,練習,9,9,Congruent,,中 正向 文字,樂觀,y,0.8168634000467137,1,None,y:0.817,64.05108559998916,68.05,68.05,-,64.04049949999899,0.010717800003476441
S006,1,練習,10,10,Congruent,,高 正向 文字,喜悅,y,0.9032326000160538,1,None,y:0.903,70.05209539999487,74.05,74.05,-,70.04049949999899,0.012324800016358495
S006,1,練習,10,0,Congruent,Run1練習結束,,,,,,EVENT,,1763879908.5935428,74.05,74.05,-,,
S006,1,預備開始,10,0,Congruent,Run 1 預備開始開始,,,,,,EVENT,,1763879908.5945892,74.05,74.05,-,,
S006,1,預備開始,10,0,Congruent,Run 1 預備開始結束,,,,,,EVENT,,1763879918.5970247,84.06,84.06,-,,
S006,1,正式,10,0,Congruent,Run1正式開始,,,,,,EVENT,,1763879918.5980313,84.06,84.06,-,,
S006,1,正式,11,1,Congruent,,低 正向 文字,放鬆,y,0.9521632999530993,1,None,y:0.952,86.10631420003483,90.09,90.09,-,86.0906290000421,0.0012551999534480274
S006,1,正式,12,2,Congruent,,中 負向 文字,不友善,b,0.9180245000170544,1,None,b:0.918,92.09187230002135,96.09,96.09,-,92.0906290000421,0.0019259999971836805
S006,1,正式,13,3,Congruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_09_11.png,y,0.7672244000132196,1,None,y:0.767,98.09382730000652,102.09,102.09,-,98.0906290000421,0.003445099981036037
S006,1,正式,14,4,Congruent,,Gay 圖片,"ChatGPT Image Nov 16, 2025 at 09_09_01 PM.png",b,0.7854351999703795,1,None,b:0.785,104.09454000002006,108.10,108.10,-,104.0906290000421,0.004969799949321896
S006,1,正式,15,5,Congruent,,Gay 圖片,Gemini_Generated_Image_rzw31qrzw31qrzw3.png,b,0.9527646999922581,1,None,b:0.953,110.09591830003774,114.10,114.10,-,110.0906290000421,0.007177499996032566
S006,1,正式,16,6,Congruent,,Gay 圖片,Gemini_Generated_Image_k0lbsdk0lbsdk0lb (3).png,b,0.8353280000155792,1,None,b:0.835,116.09823160001542,120.10,120.10,-,116.0906290000421,0.008735999988857657
S006,1,正式,17,7,Congruent,,高 正向 文字,警覺,y,1.0519445999525487,1,None,y:1.052,122.10011490003671,126.10,126.10,-,122.0906290000421,0.01044089999049902
S006,1,正式,18,8,Congruent,,Gay 圖片,Gemini_Generated_Image_m59zsrm59zsrm59z (3).png,b,0.85200990003068,1,None,b:0.852,128.10134920000564,132.10,132.10,-,128.0906290000421,0.012253099994268268
S006,1,正式,19,9,Congruent,,中 正向 文字,輕鬆愉快,y,0.7672621999518014,1,None,y:0.767,134.10296650003875,138.10,138.10,-,134.0906290000421,0.013287199952173978
S006,1,正式,20,10,Congruent,,Straight 圖片,Gemini_Generated_Image_imyf53imyf53imyf.png,y,1.050837800023146,1,None,y:1.051,140.10494190000463,144.11,144.11,-,140.0906290000421,0.014864199969451874
S006,1,正式,21,11,Congruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_17_14.png,y,0.7027797999908216,1,None,y:0.703,156.0915873000049,160.09,160.09,-,156.0906290000421,0.0025375999975949526
