"Modality","Condition","variable","n","mean","sd"
"Image","Congruent","rt",25,0.745,0.087
"Image","Incongruent","rt",24,0.89,0.153
"Text","Congruent","rt",24,0.809,0.14
"Text","Incongruent","rt",24,1.171,0.157
