"Modality","Condition","variable","n","mean","sd"
"Image","Congruent","rt",25,0.846,0.126
"Image","Incongruent","rt",24,0.919,0.206
"Text","Congruent","rt",25,0.934,0.141
"Text","Incongruent","rt",24,1.122,0.206
