"Modality",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"Image","rt","Congruent","Incongruent",25,25,-2.22656450977074,41.3366112145033,0.0315,"*"
"Text","rt","Congruent","Incongruent",23,20,-2.07846989802176,28.3981945856029,0.0468,"*"
