"Modality",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"Image","rt","Congruent","Incongruent",25,24,-1.47686517095858,37.8868388663357,0.148,"ns"
"Text","rt","Congruent","Incongruent",25,22,-3.47867781092074,36.1435044656469,0.00133,"**"
