"Modality",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"Image","rt","Congruent","Incongruent",25,24,-4.04619858521367,36.1592345973262,0.000262,"***"
"Text","rt","Congruent","Incongruent",21,20,-7.13774881587852,38.7277018710257,1.44e-08,"****"
