"Modality",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"Image","rt","Congruent","Incongruent",22,21,3.48211854390635,37.3010349201998,0.00129,"**"
"Text","rt","Congruent","Incongruent",5,19,-0.139072489899315,5.92463407287469,0.894,"ns"
