"Modality",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"Image","rt","Congruent","Incongruent",24,25,-0.737749414352323,45.1091465162352,0.464,"ns"
"Text","rt","Congruent","Incongruent",19,23,-1.29030515762748,39.9976737265014,0.204,"ns"
