"Modality","Condition","Total","Correct","Acc","Acc_Pct"
"Image","Congruent",25,25,1,"100%"
"Image","Incongruent",25,25,1,"100%"
"Text","Congruent",25,23,0.92,"92%"
"Text","Incongruent",24,20,0.833333333333333,"83.3%"
