"Modality","Condition","variable","n","mean","sd"
"Image","Congruent","rt",25,0.677,0.085
"Image","Incongruent","rt",25,0.722,0.056
"Text","Congruent","rt",25,0.79,0.107
"Text","Incongruent","rt",24,0.887,0.178
