"subject","rt","acc","Modality","Image_Type","Valence","Arousal","condition","Condition","rt_z","outlier_flag","acc_label"
"S001",0.735653000010643,1,"Text","","Negative","High","Congruent","Congruent",-0.784972515697915,FALSE,"Correct"
"S001",0.751541599980555,1,"Image","Gay","","","Congruent","Congruent",-0.709908868712191,FALSE,"Correct"
"S001",0.752944800013211,1,"Image","Straight","","","Congruent","Congruent",-0.703279630635769,FALSE,"Correct"
"S001",0.935688800003845,1,"Text","","Positive","High","Congruent","Congruent",0.160070893012146,FALSE,"Correct"
"S001",0.784341800026596,1,"Text","","Positive","Mid","Congruent","Congruent",-0.554948542315941,FALSE,"Correct"
"S001",0.617404300021008,1,"Text","","Positive","High","Congruent","Congruent",-1.34362328979703,FALSE,"Correct"
"S001",0.653104299970437,1,"Image","Straight","","","Congruent","Congruent",-1.17496323172591,FALSE,"Correct"
"S001",0.735909299983177,1,"Image","Gay","","","Congruent","Congruent",-0.783761659442663,FALSE,"Correct"
"S001",0.686057500017341,1,"Text","","Negative","High","Congruent","Congruent",-1.01928007650424,FALSE,"Correct"
"S001",0.618566100019962,1,"Text","","Negative","Mid","Congruent","Congruent",-1.33813451513126,FALSE,"Correct"
"S001",0.735625499975868,1,"Image","Straight","","","Congruent","Congruent",-0.785102436075191,FALSE,"Correct"
"S001",0.719207299989648,1,"Text","","Negative","Low","Congruent","Congruent",-0.862668110221457,FALSE,"Correct"
"S001",0.883943000051659,1,"Text","","Negative","Low","Congruent","Congruent",-0.0843954833810057,FALSE,"Correct"
"S001",0.686271500017028,1,"Text","","Negative","Low","Congruent","Congruent",-1.01826906103014,FALSE,"Correct"
"S001",0.718318500032183,1,"Image","Straight","","","Congruent","Congruent",-0.866867131304148,FALSE,"Correct"
"S001",0.835031600028742,0,"Text","","Positive","Low","Congruent","Congruent",-0.315471101865343,FALSE,"Error"
"S001",0.786450400017202,1,"Text","","Negative","Mid","Congruent","Congruent",-0.544986732865851,FALSE,"Correct"
"S001",0.752954999974463,1,"Image","Gay","","","Congruent","Congruent",-0.703231442230738,FALSE,"Correct"
"S001",0.751633899984881,1,"Image","Straight","","","Congruent","Congruent",-0.709472809213266,FALSE,"Correct"
"S001",0.752582699991763,1,"Image","Gay","","","Congruent","Congruent",-0.704990325614242,FALSE,"Correct"
"S001",0.682685500010848,1,"Image","Gay","","","Congruent","Congruent",-1.03521065683244,FALSE,"Correct"
"S001",0.91713079996407,1,"Text","","Positive","High","Congruent","Congruent",0.0723960087313011,FALSE,"Correct"
"S001",0.752039199986029,1,"Image","Straight","","","Congruent","Congruent",-0.707558021487028,FALSE,"Correct"
"S001",0.783469799964223,1,"Text","","Negative","Mid","Congruent","Congruent",-0.559068194455048,FALSE,"Correct"
"S001",0.669302299967967,1,"Image","Straight","","","Congruent","Congruent",-1.09843786410435,FALSE,"Correct"
"S001",0.702499200007878,1,"Image","Straight","","","Congruent","Congruent",-0.941603379610121,FALSE,"Correct"
"S001",0.735307900002226,1,"Image","Straight","","","Congruent","Congruent",-0.786602896301343,FALSE,"Correct"
"S001",0.786193199979607,1,"Text","","Negative","High","Congruent","Congruent",-0.546201841362716,FALSE,"Correct"
"S001",0.619196899991948,1,"Image","Gay","","","Congruent","Congruent",-1.33515438179632,FALSE,"Correct"
"S001",0.785658700042404,0,"Text","","Positive","Mid","Congruent","Congruent",-0.548727017569308,FALSE,"Error"
"S001",0.803095399984159,1,"Image","Gay","","","Congruent","Congruent",-0.466349571381326,FALSE,"Correct"
"S001",0.91757280001184,1,"Text","","Negative","Low","Congruent","Congruent",0.0744841811074857,FALSE,"Correct"
"S001",1.15279520000331,1,"Text","","Positive","Low","Congruent","Congruent",1.18576215585229,FALSE,"Correct"
"S001",0.767638100020122,1,"Text","","Positive","Mid","Congruent","Congruent",-0.633863024587238,FALSE,"Correct"
"S001",0.684617799997795,0,"Text","","Positive","Mid","Congruent","Congruent",-1.02608175407415,FALSE,"Error"
"S001",0.769601400010288,1,"Text","","Negative","Mid","Congruent","Congruent",-0.624587666300921,FALSE,"Correct"
"S001",0.735730099957436,1,"Image","Gay","","","Congruent","Congruent",-0.78460826691579,FALSE,"Correct"
"S001",1.05264260002878,1,"Image","Gay","","","Congruent","Congruent",0.712604078776451,FALSE,"Correct"
"S001",0.851948699972127,1,"Text","","Negative","Mid","Congruent","Congruent",-0.235548439039348,FALSE,"Correct"
"S001",0.768249099957757,1,"Text","","Negative","High","Congruent","Congruent",-0.63097643396794,FALSE,"Correct"
"S001",0.768478900019545,1,"Image","Gay","","","Congruent","Congruent",-0.629890773132621,FALSE,"Correct"
"S001",0.802847300015856,1,"Image","Gay","","","Congruent","Congruent",-0.467521687771261,FALSE,"Correct"
"S001",0.918125699972734,1,"Image","Straight","","","Congruent","Congruent",0.0770962858594202,FALSE,"Correct"
"S001",0.703096200013533,1,"Image","Straight","","","Congruent","Congruent",-0.938782929868808,FALSE,"Correct"
