"subject","rt","acc","Modality","Image_Type","Valence","Arousal","condition","Condition","rt_z","outlier_flag","acc_label"
"S002",0.952163299953099,1,"Text","","Positive","Low","Congruent","Congruent",-0.00961928126800093,FALSE,"Correct"
"S002",0.918024500017054,1,"Text","","Negative","Mid","Congruent","Congruent",-0.181696750562467,FALSE,"Correct"
"S002",0.76722440001322,1,"Image","Straight","","","Congruent","Congruent",-0.941808401429674,FALSE,"Correct"
"S002",0.785435199970379,1,"Image","Gay","","","Congruent","Congruent",-0.850016411777829,FALSE,"Correct"
"S002",0.952764699992258,1,"Image","Gay","","","Congruent","Congruent",-0.00658790942816167,FALSE,"Correct"
"S002",0.835328000015579,1,"Image","Gay","","","Congruent","Congruent",-0.598530513507338,FALSE,"Correct"
"S002",1.05194459995255,1,"Text","","Positive","High","Congruent","Congruent",0.493330840557708,FALSE,"Correct"
"S002",0.85200990003068,1,"Image","Gay","","","Congruent","Congruent",-0.514444982000678,FALSE,"Correct"
"S002",0.767262199951801,1,"Text","","Positive","Mid","Congruent","Congruent",-0.941617869900071,FALSE,"Correct"
"S002",1.05083780002315,1,"Image","Straight","","","Congruent","Congruent",0.487751988013865,FALSE,"Correct"
"S002",0.702779799990822,1,"Image","Straight","","","Congruent","Congruent",-1.26664300904105,FALSE,"Correct"
"S002",0.685198300052434,1,"Text","","Positive","High","Congruent","Congruent",-1.35526299631261,FALSE,"Correct"
"S002",0.887057500018273,1,"Text","","Positive","Low","Congruent","Congruent",-0.337786683466227,FALSE,"Correct"
"S002",0.834498700045515,1,"Text","","Positive","Low","Congruent","Congruent",-0.602710620611337,FALSE,"Correct"
"S002",0.784691000008024,1,"Image","Gay","","","Congruent","Congruent",-0.853767570178564,FALSE,"Correct"
"S002",0.800903399998788,1,"Image","Straight","","","Congruent","Congruent",-0.772048565209832,FALSE,"Correct"
"S002",0.784982500015758,1,"Text","","Positive","Mid","Congruent","Congruent",-0.852298257146938,FALSE,"Correct"
"S002",1.01729099999648,1,"Text","","Negative","High","Congruent","Congruent",0.318658508971505,FALSE,"Correct"
"S002",0.818414699984714,1,"Image","Gay","","","Congruent","Congruent",-0.68378242254285,FALSE,"Correct"
"S002",1.0842964000185,1,"Text","","Positive","High","Congruent","Congruent",0.656400892606958,FALSE,"Correct"
"S002",0.83489500003634,1,"Image","Straight","","","Congruent","Congruent",-0.600713060661063,FALSE,"Correct"
"S002",1.20227499998873,1,"Text","","Negative","High","Congruent","Congruent",1.25107495706774,FALSE,"Correct"
"S002",0.818694800022058,1,"Text","","Positive","Mid","Congruent","Congruent",-0.682370571345219,FALSE,"Correct"
"S002",0.767983700032346,1,"Image","Straight","","","Congruent","Congruent",-0.937981130817606,FALSE,"Correct"
"S002",1.23510029999306,1,"Text","","Negative","Low","Congruent","Congruent",1.41653169732103,FALSE,"Correct"
"S002",0.75306289998116,1,"Image","Straight","","","Congruent","Congruent",-1.01318979419965,FALSE,"Correct"
"S002",0.935137399996165,1,"Text","","Negative","Mid","Congruent","Congruent",-0.0954387530285365,FALSE,"Correct"
"S002",0.918065399979241,1,"Text","","Negative","Low","Congruent","Congruent",-0.181490593286859,FALSE,"Correct"
"S002",0.952295699971728,1,"Text","","Negative","High","Congruent","Congruent",-0.00895191568447529,FALSE,"Correct"
"S002",0.817219499964267,1,"Text","","Negative","Mid","Congruent","Congruent",-0.689806857942002,FALSE,"Correct"
"S002",0.885533799999394,1,"Image","Gay","","","Congruent","Congruent",-0.345466931269426,FALSE,"Correct"
"S002",0.78459480003221,1,"Image","Straight","","","Congruent","Congruent",-0.854252468546855,FALSE,"Correct"
"S002",0.869111699983478,1,"Image","Gay","","","Congruent","Congruent",-0.428242934425172,FALSE,"Correct"
"S002",1.11803830001736,1,"Text","","Negative","Mid","Congruent","Congruent",0.826477777906614,FALSE,"Correct"
"S002",0.917272599996068,1,"Image","Gay","","","Congruent","Congruent",-0.185486721300052,FALSE,"Correct"
"S002",0.78421219997108,1,"Image","Straight","","","Congruent","Congruent",-0.856180973661108,FALSE,"Correct"
"S002",0.783653799968306,1,"Image","Straight","","","Congruent","Congruent",-0.858995602749165,FALSE,"Correct"
"S002",1.20223180000903,1,"Image","Gay","","","Congruent","Congruent",1.25085720649671,FALSE,"Correct"
"S002",0.867975800007116,1,"Text","","Positive","Mid","Congruent","Congruent",-0.433968466478733,FALSE,"Correct"
"S002",0.81676829996286,1,"Text","","Negative","Low","Congruent","Congruent",-0.692081142759667,FALSE,"Correct"
"S002",0.835167999961413,1,"Image","Gay","","","Congruent","Congruent",-0.599336997755742,FALSE,"Correct"
"S002",0.801923900027759,1,"Text","","Positive","Low","Congruent","Congruent",-0.766904709458331,FALSE,"Correct"
"S002",1.06744509999407,1,"Image","Straight","","","Congruent","Congruent",0.571461496144355,FALSE,"Correct"
"S002",1.10111410001991,1,"Text","","Negative","High","Congruent","Congruent",0.741170927318717,FALSE,"Correct"
"S002",0.984985899995081,1,"Image","Gay","","","Congruent","Congruent",0.155823849757977,FALSE,"Correct"
"S002",0.68543829995906,1,"Image","Straight","","","Congruent","Congruent",-1.35405327082019,FALSE,"Correct"
"S002",1.05262680002488,1,"Text","","Positive","High","Congruent","Congruent",0.496769486972329,FALSE,"Correct"
"S002",0.652465999999549,1,"Image","Straight","","","Congruent","Congruent",-1.52025096799994,FALSE,"Correct"
"S002",0.900967699999455,1,"Text","","Negative","High","Congruent","Congruent",-0.267671974846531,FALSE,"Correct"
"S002",0.835122700023931,1,"Text","","Negative","Low","Congruent","Congruent",-0.599565333216152,FALSE,"Correct"
"S002",1.28470590000506,1,"Image","Gay","","","Incongruent","Incongruent",1.66656995668837,FALSE,"Correct"
