"subject","rt","acc","Modality","Image_Type","Valence","Arousal","condition","Condition","rt_z","outlier_flag","acc_label"
"S003",0.700818700017408,1,"Image","Gay","","","Congruent","Congruent",-1.15456473415198,FALSE,"Correct"
"S003",1.13409659999888,0,"Text","","Positive","Low","Congruent","Congruent",1.01277854567543,FALSE,"Error"
"S003",0.869599999976344,1,"Text","","Negative","Mid","Congruent","Congruent",-0.310286694025365,FALSE,"Correct"
"S003",1.46740889997454,0,"Text","","Positive","Mid","Congruent","Congruent",2.68007376998054,TRUE,"Error"
"S003",1.06770509999478,1,"Text","","Negative","High","Congruent","Congruent",0.680674897237086,FALSE,"Correct"
"S003",0.868044600007124,1,"Image","Gay","","","Congruent","Congruent",-0.318067117792368,FALSE,"Correct"
"S003",1.06820400001015,1,"Text","","Negative","Low","Congruent","Congruent",0.683170495548633,FALSE,"Correct"
"S003",0.918060600000899,1,"Text","","Positive","Low","Congruent","Congruent",-0.0678770169933421,FALSE,"Correct"
"S003",0.78665359999286,1,"Image","Straight","","","Congruent","Congruent",-0.725201284863639,FALSE,"Correct"
"S003",0.70329189999029,1,"Image","Straight","","","Congruent","Congruent",-1.14219329000233,FALSE,"Correct"
"S003",1.05052400002023,0,"Text","","Negative","Mid","Congruent","Congruent",0.594731576399639,FALSE,"Error"
"S003",0.984848099993542,1,"Text","","Negative","High","Congruent","Congruent",0.266207503107304,FALSE,"Correct"
"S003",0.76763190003112,1,"Image","Gay","","","Congruent","Congruent",-0.820351657372216,FALSE,"Correct"
"S003",1.33464980003191,0,"Text","","Positive","High","Congruent","Congruent",2.01598602604322,FALSE,"Error"
"S003",1.33472440001788,1,"Image","Gay","","","Congruent","Congruent",2.0163591901909,FALSE,"Correct"
"S003",1.03425659995992,1,"Text","","Positive","Low","Congruent","Congruent",0.513358766472118,FALSE,"Correct"
"S003",0.852289900009055,1,"Image","Straight","","","Congruent","Congruent",-0.396875298795767,FALSE,"Correct"
"S003",0.650983400002588,1,"Text","","Positive","High","Congruent","Congruent",-1.40385093727916,FALSE,"Correct"
"S003",0.983252500009257,1,"Text","","Negative","High","Congruent","Congruent",0.258225990772195,FALSE,"Correct"
"S003",1.25152469996829,1,"Text","","Positive","Low","Congruent","Congruent",1.60017754142958,FALSE,"Correct"
"S003",0.868280499998946,1,"Image","Straight","","","Congruent","Congruent",-0.316887098543734,FALSE,"Correct"
"S003",1.10228260001168,1,"Text","","Negative","Mid","Congruent","Congruent",0.853638513193616,FALSE,"Correct"
"S003",1.06799289997434,1,"Text","","Negative","Low","Congruent","Congruent",0.682114530672488,FALSE,"Correct"
"S003",0.767836900020484,1,"Text","","Negative","High","Congruent","Congruent",-0.81932620615642,FALSE,"Correct"
"S003",0.934824500000104,1,"Image","Gay","","","Congruent","Congruent",0.0159793855799936,FALSE,"Correct"
"S003",0.717867399973329,1,"Image","Straight","","","Congruent","Congruent",-1.06928370486145,FALSE,"Correct"
"S003",0.768961899972055,0,"Image","Gay","","","Congruent","Congruent",-0.813698729922464,FALSE,"Error"
"S003",0.884276599972509,1,"Image","Gay","","","Congruent","Congruent",-0.23687138626616,FALSE,"Correct"
"S003",0.768699600012042,1,"Image","Straight","","","Congruent","Congruent",-0.815010807126629,FALSE,"Correct"
"S003",0.885325299983378,1,"Image","Straight","","","Congruent","Congruent",-0.231625577695701,FALSE,"Correct"
"S003",1.13466790004168,0,"Text","","Negative","Low","Congruent","Congruent",1.01563630349914,FALSE,"Error"
"S003",1.18695569998817,1,"Image","Gay","","","Congruent","Congruent",1.27719040500269,FALSE,"Correct"
"S003",1.0672985999845,1,"Image","Straight","","","Congruent","Congruent",0.678641502352237,FALSE,"Correct"
"S003",0.769013600016478,1,"Image","Gay","","","Congruent","Congruent",-0.81344011589241,FALSE,"Correct"
"S003",0.785655400017276,1,"Image","Gay","","","Congruent","Congruent",-0.730194482091325,FALSE,"Correct"
"S003",0.802788299974054,1,"Text","","Negative","Low","Congruent","Congruent",-0.644492267446025,FALSE,"Correct"
"S003",0.817571999970824,1,"Text","","Positive","Mid","Congruent","Congruent",-0.570541223923259,FALSE,"Correct"
"S003",0.901090600003954,1,"Text","","Negative","Mid","Congruent","Congruent",-0.152764373245813,FALSE,"Correct"
"S003",0.868216099974234,1,"Text","","Negative","Mid","Congruent","Congruent",-0.317209240431854,FALSE,"Correct"
"S003",0.766915799991693,1,"Image","Straight","","","Congruent","Congruent",-0.823933733929088,FALSE,"Correct"
"S003",0.835904499981552,1,"Image","Gay","","","Congruent","Congruent",-0.478838368313989,FALSE,"Correct"
"S003",0.686145699990448,1,"Image","Gay","","","Congruent","Congruent",-1.2279620341405,FALSE,"Correct"
"S003",0.95060659997398,1,"Text","","Positive","Mid","Congruent","Congruent",0.0949246267783258,FALSE,"Correct"
"S003",0.651209600036964,1,"Text","","Positive","High","Congruent","Congruent",-1.40271943917039,FALSE,"Correct"
"S003",0.834201999998186,1,"Image","Straight","","","Congruent","Congruent",-0.487354615964777,FALSE,"Correct"
"S003",1.20158599998103,0,"Text","","Positive","High","Congruent","Congruent",1.35037411082461,FALSE,"Error"
"S003",0.8506699000136,1,"Image","Straight","","","Congruent","Congruent",-0.40497886489877,FALSE,"Correct"
"S003",0.668701399990823,1,"Text","","Positive","Mid","Congruent","Congruent",-1.31522193448875,FALSE,"Correct"
"S003",0.817403799970634,1,"Image","Straight","","","Congruent","Congruent",-0.571382594184915,FALSE,"Correct"
"S003",0.752305800036993,1,"Image","Straight","","","Congruent","Congruent",-0.89701589487349,FALSE,"Correct"
"S003",1.15314219996799,1,"Image","Gay","","","Incongruent","Incongruent",1.1080484708322,FALSE,"Correct"
"S003",1.18607279995922,1,"Text","","Positive","Low","Incongruent","Incongruent",1.27277396131933,FALSE,"Correct"
"S003",0.751046099991072,1,"Image","Straight","","","Incongruent","Incongruent",-0.903317168096153,FALSE,"Correct"
"S003",1.33509719994618,1,"Text","","Positive","High","Incongruent","Incongruent",2.01822401048142,FALSE,"Correct"
"S003",1.10067829996115,1,"Text","","Negative","High","Incongruent","Incongruent",0.845613481375718,FALSE,"Correct"
"S003",0.8502787000034,1,"Text","","Positive","High","Incongruent","Incongruent",-0.406935726103114,FALSE,"Correct"
"S003",0.968161900003906,1,"Text","","Negative","Low","Incongruent","Incongruent",0.182739771623795,FALSE,"Correct"
"S003",1.05222150002373,1,"Text","","Positive","Mid","Incongruent","Incongruent",0.603222813144588,FALSE,"Correct"
"S003",0.984816799988039,1,"Text","","Negative","High","Incongruent","Incongruent",0.266050934178705,FALSE,"Correct"
"S003",1.45154139999067,1,"Image","Straight","","","Incongruent","Incongruent",2.60070134074016,TRUE,"Correct"
"S003",0.834826999984216,1,"Image","Gay","","","Incongruent","Incongruent",-0.484228240214543,FALSE,"Correct"
"S003",0.951373499992769,1,"Text","","Negative","Low","Incongruent","Incongruent",0.0987608150586244,FALSE,"Correct"
"S003",0.768924500036519,1,"Image","Gay","","","Incongruent","Incongruent",-0.813885811929078,FALSE,"Correct"
"S003",1.20223390002502,1,"Text","","Positive","High","Incongruent","Incongruent",1.35361503727481,FALSE,"Correct"
"S003",0.785733000026084,1,"Image","Gay","","","Incongruent","Incongruent",-0.729806311225439,FALSE,"Correct"
"S003",1.08397209999384,1,"Text","","Positive","Low","Incongruent","Incongruent",0.762045705977682,FALSE,"Correct"
"S003",0.834454099996947,1,"Image","Straight","","","Incongruent","Incongruent",-0.486093561020174,FALSE,"Correct"
"S003",0.984527299995534,1,"Image","Straight","","","Incongruent","Incongruent",0.26460279693632,FALSE,"Correct"
"S003",1.48575900000287,1,"Text","","Positive","High","Incongruent","Incongruent",2.77186466442094,TRUE,"Correct"
