"subject","rt","acc","Modality","Image_Type","Valence","Arousal","condition","Condition","rt_z","outlier_flag","acc_label"
"S005",0.850778899970464,1,"Image","Straight","","","Congruent","Congruent",-0.692545732361699,FALSE,"Correct"
"S005",0.918760999920778,1,"Image","Gay","","","Congruent","Congruent",-0.408665107599927,FALSE,"Correct"
"S005",0.883990700007416,1,"Text","","Negative","Mid","Congruent","Congruent",-0.553859423011976,FALSE,"Correct"
"S005",0.800960999913514,1,"Image","Straight","","","Congruent","Congruent",-0.900576031555501,FALSE,"Correct"
"S005",1.234167000046,1,"Image","Straight","","","Congruent","Congruent",0.908411776382774,FALSE,"Correct"
"S005",0.866780700045638,1,"Image","Gay","","","Congruent","Congruent",-0.625725186865557,FALSE,"Correct"
"S005",1.3516594999237,1,"Image","Straight","","","Congruent","Congruent",1.39903863690166,FALSE,"Correct"
"S005",1.48458940000273,1,"Image","Straight","","","Congruent","Congruent",1.95412921385554,FALSE,"Correct"
"S005",1.3834416999016,1,"Text","","Negative","Mid","Congruent","Congruent",1.53175520188896,FALSE,"Correct"
"S005",1.48550519999117,1,"Image","Gay","","","Congruent","Congruent",1.95795342453841,FALSE,"Correct"
"S005",0.716791999991983,1,"Image","Gay","","","Congruent","Congruent",-1.25205014460528,FALSE,"Correct"
"S005",1.33375679992605,1,"Text","","Negative","High","Congruent","Congruent",1.3242802863363,FALSE,"Correct"
"S005",0.718130100052804,1,"Image","Gay","","","Congruent","Congruent",-1.24646248724345,FALSE,"Correct"
"S005",0.901972700026818,1,"Text","","Negative","Low","Congruent","Congruent",-0.478769930282202,FALSE,"Correct"
"S005",0.920564300031401,1,"Text","","Positive","Low","Congruent","Congruent",-0.401134861220206,FALSE,"Correct"
"S005",0.935827399953268,0,"Text","","Positive","Mid","Congruent","Congruent",-0.337398990383797,FALSE,"Error"
"S005",0.967507599969394,1,"Image","Straight","","","Congruent","Congruent",-0.205108358294927,FALSE,"Correct"
"S005",1.05280019994825,0,"Text","","Positive","High","Congruent","Congruent",0.151057699935847,FALSE,"Error"
"S005",1.1188140999293,1,"Image","Straight","","","Congruent","Congruent",0.426719487130959,FALSE,"Correct"
"S005",1.13525029993616,1,"Image","Straight","","","Congruent","Congruent",0.495354006071507,FALSE,"Correct"
"S005",0.733950700028799,1,"Image","Gay","","","Congruent","Congruent",-1.18039859971167,FALSE,"Correct"
"S005",0.951012999983504,1,"Image","Straight","","","Congruent","Congruent",-0.273986744702706,FALSE,"Correct"
"S005",1.36786500003655,1,"Image","Gay","","","Congruent","Congruent",1.46670979592696,FALSE,"Correct"
